,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,shingu,20.0,JP,1545703200,43.0,33.72,135.99,51.8,9.17
1,hobart,75.0,AU,1545701400,34.0,-42.88,147.33,68.0,14.99
2,dunblane,90.0,GB,1545702600,92.0,56.19,-3.96,30.2,2.24
3,port alfred,8.0,ZA,1545704362,100.0,-33.59,26.89,65.93,2.26
4,butaritari,92.0,KI,1545704362,100.0,3.07,172.79,76.19,4.94
5,banda aceh,56.0,ID,1545704362,92.0,5.56,95.32,79.61,2.37
6,nadym,32.0,RU,1545704362,76.0,65.53,72.51,-16.87,15.46
7,mataura,0.0,NZ,1545704363,60.0,-46.19,168.86,75.65,9.64
8,touros,20.0,BR,1545703200,88.0,-5.2,-35.46,77.0,4.7
9,coihaique,75.0,CL,1545703200,62.0,-45.58,-72.07,55.4,6.93
10,geraldton,90.0,CA,1545703200,76.0,49.72,-86.95,-5.81,2.59
11,jimo,92.0,CN,1545703200,70.0,36.39,120.46,44.6,2.24
12,vestmannaeyjar,44.0,IS,1545704365,100.0,63.44,-20.27,40.91,13.22
13,chuy,0.0,UY,1545704365,94.0,-33.69,-53.46,63.14,10.65
14,cockburn town,64.0,TC,1545704208,100.0,21.46,-71.14,78.85,15.9
15,san quintin,24.0,PH,1545704365,63.0,17.54,120.52,83.98,3.38
16,barrow,8.0,AR,1545704366,34.0,-38.31,-60.23,82.85,15.68
17,puerto ayora,56.0,EC,1545704154,99.0,-0.74,-90.35,76.55,8.08
18,nemuro,20.0,JP,1545703200,42.0,43.32,145.57,26.6,9.17
19,grand gaube,20.0,MU,1545703200,83.0,-20.01,57.66,77.0,3.36
20,karratha,0.0,AU,1545704366,16.0,-20.74,116.85,108.23,13.11
21,te anau,0.0,NZ,1545704367,35.0,-45.41,167.72,73.27,8.97
22,ponta do sol,56.0,BR,1545704367,96.0,-20.63,-46.0,66.25,1.14
23,rikitea,88.0,PF,1545704367,100.0,-23.12,-134.97,77.95,16.02
24,lebu,20.0,ET,1545699600,76.0,8.96,38.73,48.2,4.7
25,sur,0.0,OM,1545704368,100.0,22.57,59.53,68.27,3.94
26,east london,20.0,ZA,1545704368,100.0,-33.02,27.91,70.16,3.04
27,berezayka,56.0,RU,1545704369,85.0,57.99,33.91,8.92,3.27
28,bluff,0.0,AU,1545704369,39.0,-23.58,149.07,88.25,11.65
29,vila franca do campo,40.0,PT,1545701400,82.0,37.72,-25.43,57.2,8.05
30,madras,90.0,US,1545702960,99.0,44.63,-121.13,37.94,10.29
31,atuona,88.0,PF,1545704370,100.0,-9.8,-139.03,80.2,17.02
32,saint anthony,90.0,US,1545702960,88.0,43.97,-111.68,28.94,5.82
33,darab,20.0,IR,1545704370,66.0,28.75,54.55,19.85,1.7
34,neryungri,44.0,RU,1545704370,40.0,56.66,124.71,-28.26,15.9
35,rincon,1.0,US,1545704100,100.0,32.3,-81.24,44.96,5.39
36,dankov,76.0,RU,1545704371,88.0,53.25,39.16,20.57,3.6
37,puerto rondon,0.0,CO,1545704372,57.0,6.28,-71.1,78.67,8.41
38,tuktoyaktuk,40.0,CA,1545700860,73.0,69.44,-133.03,-34.61,4.7
39,cape town,0.0,ZA,1545703200,82.0,-33.93,18.42,64.4,4.7
40,ushuaia,75.0,AR,1545703200,75.0,-54.81,-68.31,42.8,17.22
41,talaya,0.0,RU,1545703200,73.0,55.79,84.89,-34.61,2.24
42,bredasdorp,8.0,ZA,1545703200,73.0,-34.53,20.04,69.8,1.12
43,nome,90.0,US,1545702900,90.0,30.04,-94.42,59.0,5.82
44,bandarbeyla,20.0,SO,1545704373,97.0,9.49,50.81,78.71,24.63
45,jamestown,0.0,AU,1545704374,17.0,-33.21,138.6,95.23,4.72
46,bac,0.0,RS,1545701400,74.0,45.39,19.24,33.8,14.99
47,clyde river,1.0,CA,1545703200,76.0,70.47,-68.59,-9.41,14.99
48,saint-gabriel,1.0,CA,1545699600,84.0,46.3,-73.38,8.6,2.24
49,bukachacha,36.0,RU,1545704375,19.0,52.99,116.91,-13.59,6.96
50,abeche,36.0,TD,1545704375,33.0,13.83,20.83,58.82,13.44
51,busselton,8.0,AU,1545704375,73.0,-33.64,115.35,77.09,5.95
52,pacific grove,90.0,US,1545703200,89.0,36.62,-121.92,57.92,14.99
53,victoria,75.0,BN,1545703200,83.0,5.28,115.24,86.0,4.7
54,cabo san lucas,90.0,MX,1545702360,73.0,22.89,-109.91,71.6,2.59
55,punta arenas,75.0,CL,1545703200,75.0,-53.16,-70.91,42.8,11.41
56,chililabombwe,92.0,ZM,1545704377,98.0,-12.37,27.84,63.1,3.04
57,dongsheng,92.0,CN,1545704377,100.0,29.72,112.52,45.14,8.63
58,comodoro rivadavia,0.0,AR,1545703200,33.0,-45.87,-67.48,77.0,16.11
59,lorengau,32.0,PG,1545704377,100.0,-2.02,147.27,83.98,5.17
60,avarua,40.0,CK,1545703200,66.0,-21.21,-159.78,84.2,10.29
61,nanortalik,8.0,GL,1545704378,88.0,60.14,-45.24,35.51,20.6
62,sechura,24.0,PE,1545704378,81.0,-5.56,-80.82,72.37,10.42
63,nikolskoye,90.0,RU,1545703200,92.0,59.7,30.79,26.6,8.95
64,kirakira,24.0,SB,1545704379,100.0,-10.46,161.92,83.17,7.4
65,terrace,90.0,CA,1545700140,92.0,54.52,-128.61,32.0,3.36
66,siuna,92.0,NI,1545704379,99.0,13.73,-84.78,70.57,3.15
67,nokia,90.0,FI,1545702600,92.0,61.48,23.51,24.8,6.93
68,monrovia,20.0,LR,1545703200,94.0,6.33,-10.8,73.4,4.5
69,hithadhoo,0.0,MV,1545704156,100.0,-0.6,73.08,81.05,3.94
70,vaini,36.0,IN,1545703200,82.0,15.34,74.49,62.6,3.94
71,nishihara,40.0,JP,1545703200,33.0,35.74,139.53,46.4,4.7
72,alofi,75.0,NU,1545703200,70.0,-19.06,-169.92,86.0,14.99
73,ribeira grande,0.0,PT,1545704381,100.0,38.52,-28.7,57.7,7.85
74,pochutla,75.0,MX,1545698520,73.0,15.74,-96.47,78.8,5.73
75,kilemary,80.0,RU,1545704382,84.0,56.78,46.86,24.26,15.23
76,ambulu,68.0,ID,1545704382,100.0,-8.35,113.61,79.97,3.71
77,arraial do cabo,92.0,BR,1545704382,100.0,-22.97,-42.02,73.85,2.82
78,san patricio,0.0,PY,1545704382,74.0,-26.98,-56.83,75.11,4.16
79,bethel,1.0,US,1545702960,82.0,60.79,-161.76,6.98,14.99
80,cherskiy,80.0,RU,1545704384,48.0,68.75,161.3,-29.11,2.93
81,gondanglegi,64.0,ID,1545704384,62.0,-7.75,112.01,83.48,3.71
82,saint-augustin,90.0,FR,1545701400,93.0,44.83,-0.61,51.8,4.7
83,kemin,88.0,KG,1545704385,80.0,42.79,75.7,13.01,2.15
84,chikwawa,76.0,MW,1545704385,93.0,-16.03,34.79,71.92,2.71
85,labuhan,32.0,ID,1545704385,71.0,-2.54,115.51,83.75,3.6
86,tripoli,56.0,GR,1545704386,93.0,37.51,22.37,47.12,1.92
87,abu dhabi,20.0,AE,1545703200,63.0,24.47,54.37,66.2,9.17
88,poum,88.0,MK,1545704386,98.0,41.28,20.71,29.98,1.92
89,regina,90.0,CA,1545699600,78.0,50.45,-104.62,14.0,6.93
90,kununurra,0.0,AU,1545703200,50.0,-15.77,128.74,96.8,6.93
91,kruisfontein,12.0,ZA,1545704387,94.0,-34.0,24.73,62.83,2.59
92,castro,92.0,CL,1545703200,82.0,-42.48,-73.76,59.0,4.7
93,saint george,75.0,GR,1545699000,70.0,39.45,22.34,50.0,20.8
94,albany,90.0,US,1545702960,85.0,42.65,-73.75,33.98,5.82
95,kysyl-syr,20.0,RU,1545704388,38.0,63.9,122.77,-24.84,7.4
96,codrington,40.0,AU,1545699600,47.0,-28.95,153.24,80.6,5.82
97,half moon bay,90.0,US,1545703980,82.0,37.46,-122.43,57.2,16.11
